"CIG","COD_CPV","DESCRIZIONE_CPV","OGGETTO_LOTTO"
"8354221941","45453100-8","LAVORI DI RIPARAZIONE","MANUTENZIONE STRAORDINARIA DELL'EDIFICIO SCOLASTICO ALDO MORO"
"8331273FF5","18143000-3","ATTREZZI DI PROTEZIONE","FORNITURA MASCHERINE CHIRURGICHE "
"8352482E2E","33690000-3","MEDICINALI VARI","PROCEDURA NEGOZIATA TELEMATICA AI SENSI DELL'ART. 63 COMMA 2, LETT. C) DEL D.LGS. 50/2016 E S.M.I. PER L'AFFIDAMENTO DELLA FORNITURA DEL PRINCIPIO ATTIVO RITUXIMAB"
"8290841A6C","50110000-9","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI VEICOLI A MOTORE E ATTREZZATURE AFFINI","ACCORDO QUADRO MANUTENZIONE MECCANICA, CAROZZERIA E LAVAGGI AUTOVEICOLI "
"8322156C60","44423400-5","SEGNALETICA E ARTICOLI AFFINI","FORNITURA E POSA IN OPERA DI SEGNALETICA A SERVIZIO DELL'EDIFICIO OSPITANTE IL DIPARTIMENTO DI EMERGENZA-URGENZA E DI ALLESTIMENTI  PER LE SALE DI ATTESA"
"8343312EDB","66516000-0","SERVIZI DI ASSICURAZIONE DI RESPONSABILITÀ CIVILE","SERVIZI ASSICURATIVI GARANZIA RCT/O"
"8329077BC4","71330000-0","VARI SERVIZI DI INGEGNERIA","PROCEDURA APERTA DA ESPLETARSI IN MANIERA TELEMATICA TRAMITE PIATTAFORMA EMPULIA, PER L"
"83283850B9","71311220-9","SERVIZI DI INGEGNERIA STRADALE","AFFIDAMENTO SERVIZIO DI PROGETTAZIONE DEFINITIVA, ESECUTIVA E C.S.P. , DIREZIONE LAVORI DEI LAVORI RELATIVI ALLE INFRASTRUTTURE STRADALI DI ACCESSO AL NUOVO OSPEDALE MONOPOLI-FASANO"
"8352033BA8","45215000-7","LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SOCIALI E SANITARI, CREMATORI E GABINETTI PUBBLICI","LAVORI DI RISTRUTTURAZIONE PER LA REALIZZAZIONE DI UN NUOVO REPARTO DI RIANIMAZIONE CON 8 POSTI LETTO DI TERAPIA INTENSIVA PRESSO IL P.O. DI FRANCAVILLA FONTANA (BR) "
"8343922641","45233223-8","LAVORI DI RIFACIMENTO DI MANTO STRADALE","LAVORI DI COMPLETAMENTO E SISTEMAZIONE DELLE STRADE DEL CENTRO ABITATO DI SAMMICHELE DI BARI."
"831995433D","33180000-5","SOSTEGNO FUNZIONALE","FORNITURA DI N. 40 MICROGUIDE ANGIOGRAFICHE NEURO "
"8331768874","85321000-5","SERVIZI SOCIALI AMMINISTRATIVI","GESTIONE DELLE ATTIVITÀ DI SUPPORTO ALL'ATTIVITÀ PROPRIA DEI SERVIZI SOCIALI -PUA-"
"8198474AC3","45223000-6","LAVORI DI COSTRUZIONE DI STRUTTURE EDILI","LAVORI PER REALIZZAZIONE MURO DI SOSTEGNO LATO NORD EX PO SAN MARCO IN LAMIS"
"8338973237","33124110-9","SISTEMI DIAGNOSTICI","AUTORIZZAZIONE ALLA PROCEDURA TELEMATICA DA AVVIARE SU PIATTAFORMA EMPULIA AI SENSI DEL COMBINATO DISPOSTO DEGLI ART. 58E 36 COMMA 2LETT. B ) PER L'ACQUISIZIONE DI TEST PER LA RICERCA DI ANTICORPI ANTI SARS -COV-2 PER IL COMPLETAMENTO DELL' ALGORITMO DIAGNOSTICO COVID-19 PRESSO LA U.O.C. DI IGIENE."
"8317410FD9","33192000-2","MOBILI PER USO MEDICO","PROCEDURA APERTA IN MODALITÀ TELEMATICA PER LA FORNITURA E POSA IN OPERA DI ATTREZZATURE ELETTROMEDICALI, PRESSO IL NUOVO PLESSO DEL DIPARTIMENTO DELL'EMERGENZA-URGENZA (D.E.U.) DELL'AZIENDA OSPEDALIERO-UNIVERSITARIA 'OSPEDALI RIUNITI' DI FOGGIA, INCLUSI SERVIZI ACCESSORI, DA AGGIUDICARSI CON IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA SULLA BASE DEL MIGLIOR RAPPORTO QUALITÀ/PREZZO AI SENSI DELL'ART. 95 DEL D.LGS 50/2016"
"8323620484","42418900-8","MACCHINE DI CARICO O MOVIMENTAZIONE","PROCEDURA APERTA TELEMATICA EX ART. 36 E 60 DEL D.LGS 50/2016 E SMI, SOTTOSOGLIA COMUNITARIA PER L'AFFIDAMENTO DELLA FORNITURA DI N. 1 CARRELLO ELEVATORE TELESCOPICO "
"835818721C","72512000-7","SERVIZI DI GESTIONE DOCUMENTI","IMPLEMENTAZIONE SITO INTERNET PER ESPLETAMENTO PROCEDURE DI SELEZIONPER N. 20 DI PERSONALE "
"8289905604","50410000-2","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI APPARECCHIATURE DI MISURAZIONE, COLLAUDO E PROVA","PROCEDURA APERTA (PONTE) PER L'AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA TECNICA DELEL APPARECCHIATURE ELETTROMEDICALI E DI LABORATORIO PRESSO LE STRUTTURE SANITARIE DELL'ASL BT PER UN PERIODO DI 24 MESI"
"8283957991","50730000-1","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI GRUPPI DI RAFFREDDAMENTO","FORNITURA DI APPARECCHIATURE PER L' IMPIANTO DI CLIMATIZZAZIONE A SERVIZIO DEL 3^ LOTTO"
"8183468B6B","34220000-5","RIMORCHI, SEMIRIMORCHI E CONTAINER MOBILI","L'AFFIDAMENTO DELLA FORNITURA DELLE ATTREZZATURE PER LA RACCOLTA DIFFERENZIATA E IL FUNZIONAMENTO DEL CENTRO COMUNALE DI RACCOLTA "
"8356447636","60443000-5","SERVIZI DI SALVATAGGIO AEREO","'AFFIDAMENTO DEL SERVIZIO STAGIONALE DI ELISOCCORSO (HEMS), INTEGRATO NEL SERVIZIO DI EMERGENZA SANITARIA '118' PER L'AMBITO TERRITORIALE DELL'A.S.L. FG PER IL PERIODO DAL 15/07/2020 AL 15/09/2020 "
"832800464E","42671100-1","SUPPORTI PER STRUMENTI PER LABORATORIO","FORNITURA IN SERVICE DI SISTEMI DI PRESERVAZIONE, TRASFERIMENTO SOTTOVUOTO DI CAMPIONI BIOLOGICI E RIEMPIMENTO AUTOMATICO DEI CONTENITORI CON FORMALINA"
"83407371EA","72422000-4","SERVIZI DI PROGRAMMAZIONE DI APPLICAZIONI SERVER DI INTERNET O INTRANET","SERVIZIO DI 'IMPLEMENTAZIONE E GESTIONE DELLA PIATTAFORMA 'AI SMART' PROGRAMMA INTERREG V-A GRECIA-ITALIA 2014/2020'- PROGETTO AI SMART- ADRIATIC IONIAN SMALL PORT NETWORK - ASSE PRIORITARIO 3 'SISTEMA SOSTENIBILE DEI TRASPORTI'. "
"833823947F","73210000-7","SERVIZI DI CONSULENZA NEL CAMPO DELLA RICERCA","SERVIZIO DI 'MONITORAGGIO AMBIENTALE PER LA VALUTAZIONE DEGLI IMPATTI AMBIENTALI DEGLI INTERVENTI INFRASTRUTTURALI E NON-INFRASTRUTTURALI PREVISTI NELL'AMBITO DEL PROGETTO AI SMART'"
"8342278994","90514000-3","SERVIZI DI RICICLO DEI RIFIUTI","CONFERIMENTO, SELEZIONE E VALORIZZAZIONE RIFIUTI CER 200132 RACCOLTI NEL TERRITORIO COMUNALE"
"83423103FE","90514000-3","SERVIZI DI RICICLO DEI RIFIUTI","CONFERIMENTO, SELEZIONE E VALORIZZAZIONE RIFIUTI CER 200138 RACCOLTI NEL TERRITORIO COMUNALE"
"834231581D","90514000-3","SERVIZI DI RICICLO DEI RIFIUTI","CONFERIMENTO, SELEZIONE E VALORIZZAZIONE RIFIUTI CER 200307 RACCOLTI NEL TERRITORIO COMUNALE"
"83423293AC","90514000-3","SERVIZI DI RICICLO DEI RIFIUTI","CONFERIMENTO, SELEZIONE E VALORIZZAZIONE RIFIUTI CER 150102 RACCOLTI NEL TERRITORIO COMUNALE"
"834233589E","90514000-3","SERVIZI DI RICICLO DEI RIFIUTI","CONFERIMENTO, SELEZIONE E VALORIZZAZIONE RIFIUTI CER 200140 RACCOLTI NEL TERRITORIO COMUNALE"
"8342340CBD","90514000-3","SERVIZI DI RICICLO DEI RIFIUTI","CONFERIMENTO, SELEZIONE E VALORIZZAZIONE RIFIUTI CER 200303 RACCOLTI NEL TERRITORIO COMUNALE"
"834234942D","90514000-3","SERVIZI DI RICICLO DEI RIFIUTI","CONFERIMENTO, SELEZIONE E VALORIZZAZIONE RIFIUTI CER 150107 RACCOLTI NEL TERRITORIO COMUNALE"
"8336562C95","66510000-8","SERVIZI ASSICURATIVI","PROCEDURA NEGOZIATA PER L’AFFIDAMENTO DEI SERVIZI DI COPERTURA ASSICURATIVA POLIZZE RC DEL GESTORE AEROPORTUALE – RCO  - PROCEDURA TELEMATICA EMPULIA  "
"83324581DE","45453000-7","LAVORI DI RIPARAZIONE E RIPRISTINO","LAVORI DI STRAORDINARIA MANUTENZIONE DEL PATRIMONIO IMMOBILIARE DELLA ASL DI TARANTO: OPERE DA FABBRO, DA SERRAMENTISTA, DA VETRAIO, DA LATTONIERE ED AFFINI"
"8321631B22","45454000-4","LAVORI DI RISTRUTTURAZIONE","PROCEDURA APERTA DA ESPLETARSI IN MANIERA TELEMATICA TRAMITE PIATTAFORMA EMPULIA PER L'AFFIDAMENTO DEI LAVORI 'INTERVENTI DI EFFICIENTAMENTO ENERGETICO DEL PRESIDIO OSPEDALIERO S.G. MOSCATI DI STATTE (TA)"
"83528058BC","45245000-6","LAVORI DI DRAGAGGIO E POMPAGGIO PER GLI IMPIANTI DI TRATTAMENTO DELLE ACQUE","LAVORI DI RIPRISTINO DELLA SICUREZZA E FUNZIONALITÀ PORTUALE DEL CANALE DI ACCESSO AL PORTO TURISTICO MARINA DI RODI GARGANICO (FG). DELIBERAZIONE DI GIUNTA REGIONALE N. 950 DEL 18.06.2020."
"8311009D94","45343200-5","LAVORI DI INSTALLAZIONE DI IMPIANTI DI ESTINZIONE","ADEGUAMENTO NORME DI PREVENZIONE INCENDI PER ARCHIVIO CARTELLE CLINICHE PRESSO IL COMPRENSORIO DI SUMMA"
"82324733A2","98371110-8","SERVIZI CIMITERIALI","ADEGUAMENTO MEDIANTE PROJECT FINANCING EX ART. 183 COMMA 15 DEGLI IMPIANTI ELETTRICI VOTIVI E DI PUBBLICA ILLUMINAZIONE DEL CIMITERO DI BITONTO E FRAZIONI; REALIZZAZIONE DI IMPIANTO FOTOVOLTAICO, VIDEOSORVEGLIANZA, DIFFUSIONE SONORA, SISTEMAZIONE PAVIMENTAZIONE MARIOTTO E RIQUALIFICAZIONE CHIESA DEL CIMITERO DI BITONTO; GESTIONE SERVIZIO ILLUMINAZIONE VOTIVA"
"8251712827","71340000-3","SERVIZI DI INGEGNERIA INTEGRATI","SERVIZI TECNICI EX DISCARICA R.S.U. CARAMANNA"
"8291939487","45214610-9","LAVORI DI COSTRUZIONE DI LABORATORI","ADEGUAMENTO DELL'IMPIANTO DI RIUSO DI FASANO - REALIZZAZIONE DEL CENTRO DI GESTIONE E LABORATORIO PER IL CONTROLLO ED IL MONITORAGGIO"
"8330748EB7","90510000-5","TRATTAMENTO E SMALTIMENTO DEI RIFIUTI","SERVIZIO DI PRELIEVO, TRASPORTO E SMALTIMENTO DEL PERCOLATO PRODOTTO PRESSO IL V LOTTO DELLA DISCARICA IN LOCALITÀ FORCONE DI CAFIERO - CERIGNOLA (FG)"
"83308968DB","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","IQUALIFICAZIONE DI AREE A VERDE DELLA SEDE REGIONALE IN VIA GENTILE N.52 IN BARI "
"827592555B","33172200-8","APPARECCHI PER RIANIMAZIONE","FORNITURA ED INSTALLAZIONE DI N. 2 MONITOR AMAGNETICI E N 1 VENTILATORE POLMONARE AMAGNETICO PER LE SALE DIAGNOSTICHE DI RISONANZA MAGNETICA DEI PP.OO. DI BARLETTA E ANDRIA"
"83381982AA","45453100-8","LAVORI DI RIPARAZIONE","INTERVENTI DI MESSA IN SICUREZZA E RIPRISTINO FUNZIONALE DELLE AULE INTERDETTE DELL'EDIFICIO SCOLASTICO 'SAN GIOVANNI BOSCO' DI MOLFETTA"
"83385927CC","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI RIQUALIFICAZIONE GIARDINO PUBBLICO SITO TRA VIA PAPA MONTINI, VIA MONS. ACHILLE SALVUCI, VIA PAPA PACELLI E REALIZZAZIONE DI UN ORTO URBANO. GAL PONTE LAMA FONDO F.E.A.R.S. 2014/2020. AZIONE 4 - INTERVENTO 4.3."
"8238128E46","42968100-0","DISTRIBUTORI DI BEVANDE","CONCESSIONE TRIENNALE DEL SERVIZIO DI DISTRIBUZIONE CIBI E BEVANDE A MEZZO DI DISTRIBUTORI AUTOMATICI"
"8336038C2A","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI ADEGUAMENTO EDILI ED IMPIANTISTICI DEGLI AMBIENTI DESTINATI ALLA SIGLE SINDACALI PRESSO GLI EX LOCALI DI ANATOMIA PATOLOGICA DEL PO DI VENERE DI BARI"
"82244441E5","45247130-0","LAVORI DI COSTRUZIONE DI ACQUEDOTTI","LAVORI DI PROLUNGAMENTO COLLETTORE DI FOGNA BIANCA DELLA ZONA EST DEL CAPOLUOGO COMUNALE E REALIZZAZIONE RECAPITO FINALE"
"8336349CCF","33196200-2","AUSILI PER DISABILI","FORNITURA N.633 CARROZZINE A SPINTA A TELAIO RIGIDO - DISTRETTI SOCIO SANITARI  - ASL BA"
"833722608C","31214520-0","QUADRI A MEDIA TENSIONE","FORNITURA CELLE MT IN REGIME DI ACCORDO QUADRO"
"8299871638","33191100-6","STERILIZZATORI"," LAVAPADELLE "
"8308217D8C","50730000-1","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI GRUPPI DI RAFFREDDAMENTO","LAVORI DI BONIFICA, SANIFICAZIONE E PULIZIA UTA E DELLE CANALIZZAZIONI DELL'IMPIANTO DI CONDIZIONAMENTO A SERVIZIO DELLA SALA OPERATORIA DEL PO 'PERINEI' DI ALTAMURA"
"8334083ED8","45350000-5","IMPIANTI MECCANICI","LAVORI DI SOSTITUZIONE CHILLER PRESSO DIALISI PRESSO IL P.O. DI MONOPOLI"
"8316653F27","50421000-2","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE","CONTROLLI OBBLIGATORI PER LA MANUTENZIONE DEGLI IMPIANTI CENTRALIZZATI E DEL TRATTAMENTO IDRICO DEI CENTRI DIALISI DELL'ASL BARI"
"8236960A6A","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI MANUTENZIONE STRAORDINARIA PER LA RIFUNZIONALIZZAZIONE DI ALCUNI AMBIENTI DEL D.S.S. N.5 DI BISCEGLIE DA DESTINARE AL SERD "
"8320301198","45331220-4","LAVORI DI INSTALLAZIONE DI IMPIANTI DI CLIMATIZZAZIONE","LAVORI PER EFFICIENTAMENTO ENERGETICO MEDIANTE ADEGUAMENTO IMPIANTO TERMICO CENTRALIZZATO E MEDIANTE INSTALLAZIONE DI CLIMATIZZATORI A POMPA DI CALORE A GESTIONE AUTONOMA ALL"
"8322641C9C","90510000-5","TRATTAMENTO E SMALTIMENTO DEI RIFIUTI","SERVIZI DI RACCOLTA, TRASPORTO E CONFERIMENTO A DISCARICA DEI RIFIUTI PRESSO GLI UFFICI DELLA REGIONE PUGLIA "
"81836376E3","45454000-4","LAVORI DI RISTRUTTURAZIONE","PO FESR 2014/2020 - ASSE IX - AZIONE 9.12 - INTERVENTI DI RIORGANIZZAZIONE E POTENZIAMENTO DEI SERVIZI TERRITORIALI SOCIO-SANITARI E SANITARI TERRITORIALI A TITOLARITÀ PUBBLICA. INTERVENTO N.11 - 'LAVORI DI RIQUALIFICAZIONE ENERGETICA E ADEGUAMENTO A NORME DELLA STRUTTURA TERRITORIALE EX P.O. DI MONTE SANT'ANGELO'"
"82839503CC","98380000-0","SERVIZI DI CANILE","SERVIZIO DI RICOVERO DI RICOVERO E MANTENIMENTO DI CANI RANDAGI IN CANILE RIFUGIO. SECONDO ESPERIMENTO"
"8284077C97","48610000-7","SISTEMI DI BASE DATI","AFFIDAMENTO DELLA FORNITURA DI SISTEMI GESTIONALI IN CLOUD"
"8322134A39","63730000-5","SERVIZI DI SUPPORTO VARI AI TRASPORTI AEREI","PROCEDURA TELEMATICA NEGOZIATA AI SENSI DELL’ART. 36, COMMA 2, LETT. B) DEL D. LGS. N. 50/2016 (CODICE DEI CONTRATTI PUBBLICI) PER L’AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA TECNICA (COORDINAMENTO, RENDICONTAZIONE E MONITORAGGIO) DEL PROGETTO ADRIGREEN (GREEN AND INTERMODAL SOLUTIONS FOR ADRIATIC AIRPORTS AND PORTS) FINANZIATO NELL’AMBITO DEL PROGRAMMA INTERREG CBC ITALIA – CROAZIA 2014/2020"
"8275033541","24111500-0","GAS MEDICI","SERVIZIO QUINQUENNALE DI GESTIONE, DISTRIBUZIONE E FORNITURA DEI GAS MEDICINALI E TECNICI COMPRESA LA MANUTENZIONE DEGLI IMPIANTI DI STOCCAGGIO E DELLA RETE DI DISTRIBUZIONE PRESSO I PRESIDI OSPEDALIERI E DISTRETTI SOCIO SANITARI DI COMPETENZA DELLA ASL BRINDISI "
"8329505CF6","19640000-4","SACCHI E SACCHETTI DI POLIETILENE PER RIFIUTI","PROCEDURA NEGOZIATA PER L"
"8330064A44","39830000-9","PRODOTTI PER LA PULIZIA","FORNITURA BIENNALE DI MATERIALE IGIENICO SANITARIO "
"8334255CC9","98370000-7","SERVIZI FUNERARI E SERVIZI AFFINI","GESTIONE DEI SERVIZI CIMITERIALI E SERVIZI ACCESSORI PER 24 MESI (CON OPZIONE DI RINNOVO PER N. 12 MESI)"
"8235570F58","60130000-8","SERVIZI SPECIALI DI TRASPORTO PASSEGGERI SU STRADA","SERVIZIO DI TRASPORTO SU STRADA DEI DIVERSAMENTE ABILI"
"8318358E2A","66110000-4","SERVIZI BANCARI","GARA EUROPEA TELEMATICA A PROCEDURA RISTRETTA EX ART. 61, CO. 6 D.LGS. 50/2016 PER L'AFFIDAMENTO DEL SERVIZIO FINANZIARIO RELATIVO ALL'EROGAZIONE DI UN MUTUO CHIROGRAFARIO SETTENNALE DI EURO 3.000.000,00"
"83171422B4","63520000-0","SERVIZI DI AGENZIE DI TRASPORTO","SERVIZI DI TRASPORTO TURISTI CONTO TERZI DALL'AREA SERVIZI DI PUNTA PENNA GROSSA"
"8300192F1B","42418900-8","MACCHINE DI CARICO O MOVIMENTAZIONE","PROCEDURA NEGOZIATA TELEMATICA ART. 36 COMMA 2 LETT B LGS 50/2016 AFFIDAMENTO FORNITURA N. 1 CARICATORE GOMMATO CON BENNA A VALVE"
"8317723229","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA NEGOZIATA TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA DI N.3 'FRIGOEMOTECHE INTELLIGENTI' COMPRENSIVE DI ASSISTENZA TECNICA TRIENNALE POST-GARANZIA FULL-RISK PER LE NECESSITÀ DELLA ASL DI TARANTO"
"8326007654","33168000-5","APPARECCHI PER ENDOSCOPIA E ENDOCHIRURGIA","FORNITURA N.2 VIDEOENDOSCOPI - U.O. OTORINOLARINGOIATRIA P.O. 'V. FAZZI'"
"83105681AB","33124130-5","PRESIDI DIAGNOSTICI","AFFIDAMENTO DELLA FORNITURA DI N.1 RILEVATORE PER RADIAZIONI IONIZZANTI A MATRICI PLANARI PER L'U.O.S.D. FISICA SANITARIA______________."
"8287730327","33171200-1","STRUMENTI PER RIANIMAZIONE","FORNITURA IN SOMMINISTRAZIONE TRIENNALE DI TEST PER LA RIMOZIONE DELL'ARIA DA CARICHI CAVI"
"8302582369","45233220-7","LAVORI DI SUPERFICIE PER STRADE","SISTEMAZIONE E VALORIZZAZIONE DELLA VIABILITÀ DI CONNESSIONE TRA PIAZZA MATTEOTTI E IL MONASTERO DEL SOCCORSO"
"824971475A","30210000-4","MACCHINE PER L'ELABORAZIONE DI DATI (HARDWARE)","AFFIDAMENTO AI SENSI DELL'ART. 60 DEL D.LGS. 50/2016, CON LE MODALITÀ DELL'ACCORDO QUADRO, DELLA FORNITURA DI ATTREZZATURE ED ARTICOLI VARI PER IL SISTEMA INFORMATIVO DEL CUR NUE 112 DI REGIONE PUGLIA "
"832723293A","33690000-3","MEDICINALI VARI","PROC. NEG. TEL. PER ACQUISTO FULVESTRANT 250 MG S.P. X 6 MESI"
"832730015A","33690000-3","MEDICINALI VARI","PROCEDURA NEGOZIATA PER LA FORNITURA EVEROLIMUS 10 E 5MG COMPRESSE"
"8306551EB8","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA DI N. 1 MONITOR CFM, RELATIVO MATERIALE DI CONSUMO PER 5 ANNI E SERVIZIO DI ASSISTENZA TECNICA POST GARANZIA TIPO FULL-RISK  TRIENNALE PER LE NECESSITÀ DELLA S.C. NEONATOLOGIA E TERAPIA INTENSIVA NEONATALE DEL P.O. CENTRALE - STABILIMENTO "
"81679093BC","33162000-3","APPARECCHI E STRUMENTI PER SALA OPERATORIA","LAVORI DI REALIZZAZIONE CASA DEL PARTO PRESSO P.O. G. CERIGNOLA"
"8293734DCC","45315000-8","LAVORI DI INSTALLAZIONE DI IMPIANTI DI RISCALDAMENTO E DI ALTRI IMPIANTI ELETTRICI PER EDIFICI","LAVORI DI 'EFFICIENTAMENTO ENERGETICO ED ADEGUAMENTO NORMATIVO DEL PALAZZETTO DELLO SPORT 'A. GENTILE''"
"8173056B2A","90510000-5","TRATTAMENTO E SMALTIMENTO DEI RIFIUTI","AFFIDAMENTO DEL SERVIZIO DI RACCOLTA E TRASPORTO DEI RIFIUTI SOLIDI URBANI, DI SPAZZAMENTO E DI IGIENE COMPLEMENTARI NELL"
"82843849F0","45262522-6","LAVORI EDILI","REALIZZAZIONE GRUPPO DI LOCULI 'LOTTO H' NEL NUOVO CIMITERO COMUNALE"
"829992746F","42418900-8","MACCHINE DI CARICO O MOVIMENTAZIONE","PROCEDURA NEGOZIATA TELEMATICA ART. 36 COMMA 2 LETT B LGS 50/2016 AFFIDAMENTO FORNITURA CON POSA IN OPERA N. 2 NASTRI A PIASTRE"
"8306543820","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA DI KIT DI SISTEMA DI INFUSIONE INTRAOSSEA E MATERIALE DI CONSUMO PER LE NECESSITÀ DI DIVERSE STRUTTURE DELL"
"831042185A","79132100-9","SERVIZI DI CERTIFICAZIONE DELLA FIRMA ELETTRONICA","PROCEDURA NEGOZIATA PER L'AFFIDAMENTO DELLA FORNITURA DISPOSITIVI USB DI AUTENTICAZIONE E FIRMA DIGITALE"
"8317366B8B","33680000-0","ARTICOLI DI FARMACIA","FORNITURA URRGENTE FARMACO EVEROLIMUS (PER ESAURIMENTO CONVENZIONE SOGGETTO AGGREGATORE)        "
"8243485306","50421000-2","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE","SERVIZIO ANNUALE DI MANUTENZIONE ORDINARIA E STRAORDINARIA DELLE APPARECCHIATURE ELETTROMEDICALI DI PRODUZIONE GE MEDICAL SISTEM"
"8288943C24","66510000-8","SERVIZI ASSICURATIVI","PROCEDURA NEGOZIATA PER L’AFFIDAMENTO TRIENNALE DEL SERVIZIO DI CONSULENZA E BROKERAGGIO ASSICURATIVO"
"8289972D4C","09310000-5","ELETTRICITÀ","GARA EUROPEA TELEMATICA A PROCEDURA APERTA PER LA FORNITURA DI ENERGIA ELETTRICA A PREZZO FISSO PER L'ANNO 2021 PER I PUNTI DI PRELIEVO ALIMENTATI IN MEDIA E BASSA TENSIONE"
"8285044A96","33127000-6","APPARECCHI PER IMMUNOANALISI","PROCEDURA APERTA PER LA FORNITURA DI UN SISTEMA COMPLETO E MODULARE PER DIAGNOSTICA MOLECOLARE E FARMACOGENETICA PER LA UOSVD DI ANATOMIA PATOLOGICA - P.O. ANDRIA."
"82865884BE","32441100-7","SISTEMA DI MONITORAGGIO PER TELEMETRIA","CENTRALE DI MONITORAGGIO"
"8263644EBE","85310000-5","SERVIZI DI ASSISTENZA SOCIALE","GESTIONE DEL CENTRO ANTIVIOLENZA"
"8222707878","51110000-6","SERVIZI DI INSTALLAZIONE DI ATTREZZATURE ELETTRICHE","INTERVENTO PER IL MIGLIORAMENTO FUNZIONALE E STRUMENTALE DEI LABORATORI URBANI UBICATI IN VIALE E. FIERAMOSCA E PIAZZA MARCONI "
"8212175531","71221000-3","SERVIZI DI PROGETTAZIONE DI EDIFICI","INCARICO DI PROGETTAZIONE DEFINITIVA ESECUTIVA COORDINAMENTO SICUREZZA DIREZIONE LAVORI"
"83037295F1","85143000-3","SERVIZI DI AMBULANZA","FORNITURA IN NOLEGGIO - SENZA CONDUCENTE - DI N^ 6 AMBULANZE DI TIPO "
"82766679AB","85321000-5","SERVIZI SOCIALI AMMINISTRATIVI","PROGETTO SIPROIMI 2020-2022"
"8223739C19","79811000-2","SERVIZI DI STAMPA DIGITALE","SERVIZIO DI FOTOCOMPOSIZIONE DEL BOLLETTINO UFFICIALE DELLA REGIONE PUGLIA (BURP)"
"8235144FCC","45454100-5","LAVORI DI RESTAURO","APPALTO DEI LAVORI PER LA RIQUALIFICAZIONE DELL'IMMOBILE SITO IN MOLFETTA AL PIANO TERRA ARCO CATACOMBE N. 12/14E"
"825929275E","32333300-9","APPARECCHI DI VIDEORIPRODUZIONE","FORNITURA E POSA IN OPERA DI N. 1 PANNELLO (VIDEO WALL) DA INSTALLARE A SERVIZIO DELLA NUOVA PISTA DI ATLETICA LEGGERA"
"8233786F24","45233141-9","LAVORI DI MANUTENZIONE STRADALE","MIGLIORAMENTO DELLA VIABILITÀ DEL TRATTO DI STRADA COMUNALE DENOMINATA VIA LECCE IN SPEZIALE DI FASANO"
"8197778C67","45231400-9","LAVORI GENERALI DI COSTRUZIONE DI LINEE ELETTRICHE","REALIZZAZIONE DI NUOVA CABINA ELETTRICA PRESSO IL PO PERRINO DI BRINDISI"
"8279948D3B","45261900-3","LAVORI DI RIPARAZIONE E MANUTENZIONE DI TETTI","CONSOLIDAMENTO E RIPRISTINO SOLAIO DI COPERTURA ALLA SCUOLA DELL'INFANZIA 'S. G. BOSCO' IN PIAZZA DE NAPOLI"
"81304145E1","45454000-4","LAVORI DI RISTRUTTURAZIONE","P.O.R. FESR 2014-2020 - ASSE IX - AZIONE 9.12 - INTERVENTI DI RIORGANIZZAZIONE E POTENZIAMENTO DEI SERVIZI TERRITORIALI SOCIO-SANITARI E SANITARI TERRITORIALI A TITOLARITÀ PUBBLICA. INTERVENTO N. 19 - COMPLETAMENTO LAVORI DI RISTRUTTURAZIONE E ADEGUAMENTO A NORME DEL POLIAMBULATORIO EX INAM IN FOGGIA. - CUP: [G71B16000250006]."
"8299883021","33124100-6","APPARECCHI DIAGNOSTICI"," N. 1 COLONNA PER LARINGOSTROBOSCOPIA E VALUTAZIONE DELLA DISFAGIA"
"8188256A9A","85121271-3","SERVIZI DI ISTITUTI PER PERSONE CON DISTURBI PSICOLOGICI","AFFIDAMENTO DELLA GESTIONE DI DUE GRUPPI APPARTAMENTO DI CUI ALL'ART. 3 DEL REGOLAMENTO REGIONALE N. 7/2002 E S.M.I. DI PROPRIETA' DELLA ASL FG"
